LLM,LLM_Full,cat,cat_full,cat_desc,axis,mean
llama4-maverick,Llama 4 Maverick,3,3,,voice_style,7.045750000000001
command-a,Cohere Command A,13,13,,voice_style,7.562749999999999
glm-4-5,GLM-4.5,14,14,,voice_style,7.67225
gpt-oss-120b,GPT-OSS-120B,1,1,,voice_style,8.65925
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,voice_style,8.23525
grok-4-0709,Grok 4,9,9,,voice_style,8.3225
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,voice_style,8.24175
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,voice_style,8.468
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,voice_style,8.3455
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,voice_style,8.1135
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,voice_style,8.19762340036563
kimi-k2,Kimi K2,16,16,,voice_style,8.982000000000001
mistral-medium-2508,Mistral Medium 3.1,5,5,,voice_style,8.713
o3-pro-medium,o3-pro (medium reasoning),1,1,,voice_style,8.9515
gpt-5-medium,GPT-5 (medium reasoning),1,1,,voice_style,9.1375
llama4-maverick,Llama 4 Maverick,3,3,,concreteness_specificity,5.27575
command-a,Cohere Command A,13,13,,concreteness_specificity,6.25725
glm-4-5,GLM-4.5,14,14,,concreteness_specificity,6.33775
gpt-oss-120b,GPT-OSS-120B,1,1,,concreteness_specificity,6.9152499999999995
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,concreteness_specificity,7.23375
grok-4-0709,Grok 4,9,9,,concreteness_specificity,7.07525
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,concreteness_specificity,7.24275
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,concreteness_specificity,7.853
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,concreteness_specificity,7.473
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,concreteness_specificity,7.3725
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,concreteness_specificity,7.242778793418648
kimi-k2,Kimi K2,16,16,,concreteness_specificity,8.028500000000001
mistral-medium-2508,Mistral Medium 3.1,5,5,,concreteness_specificity,7.69675
o3-pro-medium,o3-pro (medium reasoning),1,1,,concreteness_specificity,7.93525
gpt-5-medium,GPT-5 (medium reasoning),1,1,,concreteness_specificity,7.77725
llama4-maverick,Llama 4 Maverick,3,3,,rhythm_syntax,5.59025
command-a,Cohere Command A,13,13,,rhythm_syntax,6.894500000000001
glm-4-5,GLM-4.5,14,14,,rhythm_syntax,7.0185
gpt-oss-120b,GPT-OSS-120B,1,1,,rhythm_syntax,7.6682500000000005
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,rhythm_syntax,7.58625
grok-4-0709,Grok 4,9,9,,rhythm_syntax,7.5775
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,rhythm_syntax,7.60875
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,rhythm_syntax,7.795
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,rhythm_syntax,7.6682500000000005
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,rhythm_syntax,7.465
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,rhythm_syntax,7.642413162705666
kimi-k2,Kimi K2,16,16,,rhythm_syntax,8.371749999999999
mistral-medium-2508,Mistral Medium 3.1,5,5,,rhythm_syntax,8.343
o3-pro-medium,o3-pro (medium reasoning),1,1,,rhythm_syntax,8.3835
gpt-5-medium,GPT-5 (medium reasoning),1,1,,rhythm_syntax,8.52975
llama4-maverick,Llama 4 Maverick,3,3,,syntax_complexity,5.847
command-a,Cohere Command A,13,13,,syntax_complexity,6.63875
glm-4-5,GLM-4.5,14,14,,syntax_complexity,6.81325
gpt-oss-120b,GPT-OSS-120B,1,1,,syntax_complexity,7.4327499999999995
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,syntax_complexity,7.247999999999999
grok-4-0709,Grok 4,9,9,,syntax_complexity,7.343500000000001
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,syntax_complexity,7.273250000000001
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,syntax_complexity,7.559500000000001
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,syntax_complexity,7.32225
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,syntax_complexity,6.8585
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,syntax_complexity,7.080987202925046
kimi-k2,Kimi K2,16,16,,syntax_complexity,7.7204999999999995
mistral-medium-2508,Mistral Medium 3.1,5,5,,syntax_complexity,6.9254999999999995
o3-pro-medium,o3-pro (medium reasoning),1,1,,syntax_complexity,7.479
gpt-5-medium,GPT-5 (medium reasoning),1,1,,syntax_complexity,7.471
llama4-maverick,Llama 4 Maverick,3,3,,paragraphing_lineation,4.088
command-a,Cohere Command A,13,13,,paragraphing_lineation,4.72525
glm-4-5,GLM-4.5,14,14,,paragraphing_lineation,5.19675
gpt-oss-120b,GPT-OSS-120B,1,1,,paragraphing_lineation,1.5030000000000001
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,paragraphing_lineation,5.4985
grok-4-0709,Grok 4,9,9,,paragraphing_lineation,5.9415
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,paragraphing_lineation,5.609249999999999
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,paragraphing_lineation,3.31375
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,paragraphing_lineation,5.827999999999999
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,paragraphing_lineation,5.83425
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,paragraphing_lineation,6.159049360146252
kimi-k2,Kimi K2,16,16,,paragraphing_lineation,6.7955
mistral-medium-2508,Mistral Medium 3.1,5,5,,paragraphing_lineation,8.30125
o3-pro-medium,o3-pro (medium reasoning),1,1,,paragraphing_lineation,7.66
gpt-5-medium,GPT-5 (medium reasoning),1,1,,paragraphing_lineation,7.17625
llama4-maverick,Llama 4 Maverick,3,3,,pov_distance,5.73375
command-a,Cohere Command A,13,13,,pov_distance,6.181749999999999
glm-4-5,GLM-4.5,14,14,,pov_distance,5.94375
gpt-oss-120b,GPT-OSS-120B,1,1,,pov_distance,5.836749999999999
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,pov_distance,6.289
grok-4-0709,Grok 4,9,9,,pov_distance,6.0495
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,pov_distance,6.268
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,pov_distance,6.729500000000001
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,pov_distance,6.48125
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,pov_distance,6.3854999999999995
