llm,story,voice_style,concreteness_specificity,register_level,language_mix,rhythm_syntax,syntax_complexity,paragraphing_lineation,sentence_form_preference,pov_distance,pov_person,pov_scope,tense,free_indirect_presence,narrator_reliability,structure_pacing,temporal_handling,narrative_modality,exposition_strategy,narrative_drive,tone_mood,tonal_span,rhetorical_stance,imagery_density,sensory_bias,motif_strategy,dialogue_density,dialogue_subtext,dialogue_markup,experimentation_degree,associative_gaps,metafictional_devices,closure_cadence,closure_form,genre_family,topic_domain,setting_time,setting_space,worldbuilding_intensity,conflict_type,stakes_level,cast_size,internal_external_ratio,realism_spectrum,ending_valence,prompt_dependency,evaluator_id,raw_path
claude-opus-4-1-20250805-0K,story_wc_100.txt,8.8,7.8,High,Monolingual,8.2,7.0,6.5,Balanced,6.0,ThirdLimited,Single,Past,Incidental,Reliable,3.5,Linear,Reflective,Distributed,Idea,8.8,5.0,Earnest,8.5,Visual,Transforming,1.0,2.0,Minimal,4.5,3.0,Absent,8.5,Resonant,Fabulist,Existential,Future,Abstract,5.0,Internal,Existential,Small,3.5,9.0,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_100.txt
claude-opus-4-1-20250805-0K,story_wc_1.txt,7.8,7.2,High,Monolingual,7.5,6.8,6.0,Balanced,7.5,ThirdLimited,Single,Past,Incidental,Reliable,3.5,Flashback,Reflective,Distributed,Character,8.5,4.5,Earnest,8.0,Visual,Transforming,0.0,0.0,Minimal,2.0,2.0,Absent,8.0,Resonant,Literary,Existential,Contemporary,Rural,2.0,Internal,Existential,Solo,2.5,1.0,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_1.txt
claude-opus-4-1-20250805-0K,story_wc_101.txt,7.4,6.6,High,Monolingual,7.2,6.8,6.5,Balanced,4.8,ThirdOmniscient,Single,Past,Incidental,Reliable,3.5,Linear,Balanced,Distributed,Character,8.0,3.2,Earnest,6.0,Mixed,Transforming,2.0,6.0,Mixed,1.2,1.0,Absent,8.8,Resonant,Literary,Social,Contemporary,Rural,3.0,Societal,Moral,Small,6.2,1.2,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_101.txt
claude-opus-4-1-20250805-0K,story_wc_113.txt,7.8,7.5,High,Monolingual,7.2,6.8,6.5,Balanced,6.5,ThirdLimited,Single,Past,Incidental,Reliable,7.0,Linear,Balanced,Distributed,Character,8.5,3.0,Earnest,8.2,Mixed,Transforming,0.0,0.0,Minimal,3.5,2.0,Incidental,8.5,Resonant,Literary,Existential,Contemporary,Workplace,2.0,Supernatural,Existential,Solo,3.0,7.5,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_113.txt
claude-opus-4-1-20250805-0K,story_wc_103.txt,8.7,5.8,High,Monolingual,7.9,7.8,5.0,Hypotaxis,7.5,ThirdLimited,Single,Past,Incidental,Reliable,4.0,Linear,Reflective,Distributed,Idea,8.8,2.0,Earnest,8.5,Mixed,Transforming,0.5,1.0,Minimal,4.0,3.0,Absent,8.5,Resonant,Literary,Memory,Timeless,Abstract,3.5,Internal,Existential,Solo,1.5,9.0,Positive,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_103.txt
claude-opus-4-1-20250805-0K,story_wc_109.txt,8.7,6.8,High,Monolingual,8.0,7.6,5.0,Hypotaxis,6.0,ThirdLimited,Single,Past,Incidental,Reliable,3.5,Linear,Reflective,Distributed,Idea,9.0,2.0,Earnest,8.3,Visual,Threaded,0.5,6.0,Minimal,3.0,2.0,Absent,7.5,Resonant,Literary,Existential,Timeless,Rural,2.5,Internal,Existential,Solo,1.0,7.0,Positive,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_109.txt
claude-opus-4-1-20250805-0K,story_wc_120.txt,8.8,6.8,High,Monolingual,8.5,8.2,6.5,Balanced,7.2,ThirdLimited,Single,Past,Incidental,Reliable,6.3,Braided,Balanced,Distributed,Idea,9.0,3.5,Earnest,9.0,Mixed,Threaded,0.5,3.0,Minimal,5.5,4.0,Absent,8.7,Resonant,Fabulist,Memory,Timeless,Abstract,2.5,Internal,Existential,Solo,2.0,8.8,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_120.txt
claude-opus-4-1-20250805-0K,story_wc_106.txt,8.2,7.8,High,Monolingual,7.5,6.8,6.5,Balanced,6.0,ThirdLimited,Single,Past,Incidental,Reliable,6.5,Linear,Balanced,Distributed,Character,8.8,3.5,Earnest,8.9,Visual,Transforming,2.5,6.0,Mixed,2.3,1.5,Absent,7.5,Resonant,Fabulist,Memory,Contemporary,Transit,3.2,Interpersonal,Relational,Duo,4.0,7.8,Positive,High,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_106.txt
claude-opus-4-1-20250805-0K,story_wc_122.txt,8.6,7.2,High,Monolingual,7.5,7.0,5.5,Balanced,7.5,ThirdLimited,Single,Past,Incidental,Reliable,7.0,Linear,Balanced,Distributed,Character,8.8,3.0,Earnest,8.5,Tactile,Transforming,0.0,0.0,Minimal,3.0,2.0,Absent,8.5,Resonant,Literary,Existential,Timeless,Abstract,2.0,Internal,Existential,Solo,1.5,6.0,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_122.txt
claude-opus-4-1-20250805-0K,story_wc_11.txt,7.2,6.8,High,Monolingual,7.1,7.5,5.6,Balanced,5.5,ThirdLimited,Single,Past,Incidental,Reliable,3.8,Braided,Reflective,Distributed,Idea,8.2,3.2,Earnest,7.0,Visual,Transforming,0.0,0.0,Minimal,4.2,3.0,Absent,8.0,Circular,Speculative,Existential,Future,Workplace,4.0,Internal,Existential,Solo,8.5,8.0,Positive,Medium,gpt-5-low,/mnt/r/writing2/style_fingerprint_raw/gpt-5-low/claude-opus-4-1-20250805-0K/story_wc_11.txt
