LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Reliable,0.8525
o3-pro-medium,o3-pro (medium reasoning),1,1,,Reliable,0.9525
mistral-medium-2508,Mistral Medium 3.1,5,5,,Reliable,0.9675
kimi-k2,Kimi K2,16,16,,Reliable,0.97
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Reliable,0.9825
glm-4-5,GLM-4.5,14,14,,Reliable,0.9875
gpt-oss-120b,GPT-OSS-120B,1,1,,Reliable,0.9875
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Reliable,0.9890310786106032
grok-4-0709,Grok 4,9,9,,Reliable,0.99
llama4-maverick,Llama 4 Maverick,3,3,,Reliable,0.99
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Reliable,0.9925
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Reliable,0.995
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Reliable,0.995
command-a,Cohere Command A,13,13,,Reliable,0.9975
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Reliable,0.9975
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Ambiguous,0.145
o3-pro-medium,o3-pro (medium reasoning),1,1,,Ambiguous,0.0475
mistral-medium-2508,Mistral Medium 3.1,5,5,,Ambiguous,0.0325
kimi-k2,Kimi K2,16,16,,Ambiguous,0.03
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Ambiguous,0.0175
glm-4-5,GLM-4.5,14,14,,Ambiguous,0.0125
gpt-oss-120b,GPT-OSS-120B,1,1,,Ambiguous,0.01
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Ambiguous,0.010968921389396709
grok-4-0709,Grok 4,9,9,,Ambiguous,0.01
llama4-maverick,Llama 4 Maverick,3,3,,Ambiguous,0.01
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Ambiguous,0.0075
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Ambiguous,0.005
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Ambiguous,0.005
command-a,Cohere Command A,13,13,,Ambiguous,0.0025
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Ambiguous,0.0025
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Unreliable,0.0025
o3-pro-medium,o3-pro (medium reasoning),1,1,,Unreliable,0.0
mistral-medium-2508,Mistral Medium 3.1,5,5,,Unreliable,0.0
kimi-k2,Kimi K2,16,16,,Unreliable,0.0
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Unreliable,0.0
glm-4-5,GLM-4.5,14,14,,Unreliable,0.0
gpt-oss-120b,GPT-OSS-120B,1,1,,Unreliable,0.0025
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Unreliable,0.0
grok-4-0709,Grok 4,9,9,,Unreliable,0.0
llama4-maverick,Llama 4 Maverick,3,3,,Unreliable,0.0
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Unreliable,0.0
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Unreliable,0.0
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Unreliable,0.0
command-a,Cohere Command A,13,13,,Unreliable,0.0
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Unreliable,0.0
