LLM,LLM_Full,cat,cat_full,cat_desc,axis,mean
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,voice_style,7.905875
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,voice_style,8.010454065469904
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,voice_style,7.7307500000000005
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,voice_style,7.58625
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,voice_style,7.603
command-a,Cohere Command A,13,13,,voice_style,7.334375
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,voice_style,8.24175
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,voice_style,8.23525
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,voice_style,7.05875
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,voice_style,8.167250000000001
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,voice_style,8.245750000000001
glm-4-5,GLM-4.5,14,14,,voice_style,7.41275
glm-4-6,GLM-4.6,14,14,,voice_style,7.783250000000001
gpt-5-medium,GPT-5 (medium reasoning),1,1,,voice_style,9.0975
gpt-5-pro,GPT-5 Pro,1,1,,voice_style,9.055
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,voice_style,8.60725
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,voice_style,8.54525
gpt-oss-120b,GPT-OSS-120B,1,1,,voice_style,8.52925
grok-4-0709,Grok 4,9,9,,voice_style,8.3225
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,voice_style,8.427
kimi-k2,Kimi K2,16,16,,voice_style,8.982000000000001
kimi-k2-thinking,Kimi K2 Thinking,16,16,,voice_style,8.139249999999999
kimi-k2-0905,Kimi K2-0905,16,16,,voice_style,8.86275
llama4-maverick,Llama 4 Maverick,3,3,,voice_style,6.64875
mistral-large-2512,Mistral Large 3,5,5,,voice_style,7.6635
mistral-medium-2508,Mistral Medium 3.1,5,5,,voice_style,8.550375
o3-pro-medium,o3-pro (medium reasoning),1,1,,voice_style,8.9515
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,voice_style,8.468
qwen3-max-preview,Qwen 3 Max Preview,6,6,,voice_style,8.75725
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,concreteness_specificity,7.32525
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,concreteness_specificity,7.237697993664203
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,concreteness_specificity,7.2139999999999995
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,concreteness_specificity,7.17475
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,concreteness_specificity,7.178999999999999
command-a,Cohere Command A,13,13,,concreteness_specificity,6.305750000000001
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,concreteness_specificity,7.24275
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,concreteness_specificity,7.23375
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,concreteness_specificity,6.250249999999999
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,concreteness_specificity,7.447
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,concreteness_specificity,7.7335
glm-4-5,GLM-4.5,14,14,,concreteness_specificity,6.368125
glm-4-6,GLM-4.6,14,14,,concreteness_specificity,6.729
gpt-5-medium,GPT-5 (medium reasoning),1,1,,concreteness_specificity,7.726375000000001
gpt-5-pro,GPT-5 Pro,1,1,,concreteness_specificity,7.73175
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,concreteness_specificity,7.79
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,concreteness_specificity,7.976749999999999
gpt-oss-120b,GPT-OSS-120B,1,1,,concreteness_specificity,6.922875
grok-4-0709,Grok 4,9,9,,concreteness_specificity,7.07525
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,concreteness_specificity,7.4552499999999995
kimi-k2,Kimi K2,16,16,,concreteness_specificity,8.028500000000001
kimi-k2-thinking,Kimi K2 Thinking,16,16,,concreteness_specificity,7.0465
kimi-k2-0905,Kimi K2-0905,16,16,,concreteness_specificity,8.01475
llama4-maverick,Llama 4 Maverick,3,3,,concreteness_specificity,5.2885
mistral-large-2512,Mistral Large 3,5,5,,concreteness_specificity,7.28725
mistral-medium-2508,Mistral Medium 3.1,5,5,,concreteness_specificity,7.653375
o3-pro-medium,o3-pro (medium reasoning),1,1,,concreteness_specificity,7.93525
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,concreteness_specificity,7.853
qwen3-max-preview,Qwen 3 Max Preview,6,6,,concreteness_specificity,7.765
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,rhythm_syntax,7.325875
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,rhythm_syntax,7.523864836325238
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,rhythm_syntax,7.396
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,rhythm_syntax,7.2635000000000005
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,rhythm_syntax,7.272749999999999
command-a,Cohere Command A,13,13,,rhythm_syntax,6.70275
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,rhythm_syntax,7.60875
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,rhythm_syntax,7.58625
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,rhythm_syntax,6.2065
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,rhythm_syntax,7.579249999999999
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,rhythm_syntax,7.571000000000001
glm-4-5,GLM-4.5,14,14,,rhythm_syntax,6.776875
glm-4-6,GLM-4.6,14,14,,rhythm_syntax,7.10375
gpt-5-medium,GPT-5 (medium reasoning),1,1,,rhythm_syntax,8.482000000000001
gpt-5-pro,GPT-5 Pro,1,1,,rhythm_syntax,8.4305
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,rhythm_syntax,8.08825
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,rhythm_syntax,8.0205
gpt-oss-120b,GPT-OSS-120B,1,1,,rhythm_syntax,7.539
grok-4-0709,Grok 4,9,9,,rhythm_syntax,7.5775
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,rhythm_syntax,7.6427499999999995
kimi-k2,Kimi K2,16,16,,rhythm_syntax,8.371749999999999
kimi-k2-thinking,Kimi K2 Thinking,16,16,,rhythm_syntax,7.3035000000000005
kimi-k2-0905,Kimi K2-0905,16,16,,rhythm_syntax,8.279
llama4-maverick,Llama 4 Maverick,3,3,,rhythm_syntax,5.334
mistral-large-2512,Mistral Large 3,5,5,,rhythm_syntax,7.2625
mistral-medium-2508,Mistral Medium 3.1,5,5,,rhythm_syntax,8.164625
o3-pro-medium,o3-pro (medium reasoning),1,1,,rhythm_syntax,8.3835
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,rhythm_syntax,7.795
qwen3-max-preview,Qwen 3 Max Preview,6,6,,rhythm_syntax,8.25975
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,syntax_complexity,6.808
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,syntax_complexity,7.040337909186905
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,syntax_complexity,6.94575
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,syntax_complexity,6.888
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,syntax_complexity,6.8515
command-a,Cohere Command A,13,13,,syntax_complexity,6.500625
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,syntax_complexity,7.273250000000001
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,syntax_complexity,7.247999999999999
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,syntax_complexity,6.035
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,syntax_complexity,7.2685
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,syntax_complexity,7.37825
glm-4-5,GLM-4.5,14,14,,syntax_complexity,6.631749999999999
glm-4-6,GLM-4.6,14,14,,syntax_complexity,7.0615
gpt-5-medium,GPT-5 (medium reasoning),1,1,,syntax_complexity,7.497625
gpt-5-pro,GPT-5 Pro,1,1,,syntax_complexity,7.5835
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,syntax_complexity,7.446000000000001
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,syntax_complexity,7.78225
gpt-oss-120b,GPT-OSS-120B,1,1,,syntax_complexity,7.32225
grok-4-0709,Grok 4,9,9,,syntax_complexity,7.343500000000001
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,syntax_complexity,7.247999999999999
kimi-k2,Kimi K2,16,16,,syntax_complexity,7.7204999999999995
kimi-k2-thinking,Kimi K2 Thinking,16,16,,syntax_complexity,6.72225
kimi-k2-0905,Kimi K2-0905,16,16,,syntax_complexity,7.8825
llama4-maverick,Llama 4 Maverick,3,3,,syntax_complexity,5.590863579474344
mistral-large-2512,Mistral Large 3,5,5,,syntax_complexity,6.54375
mistral-medium-2508,Mistral Medium 3.1,5,5,,syntax_complexity,6.968624999999999
o3-pro-medium,o3-pro (medium reasoning),1,1,,syntax_complexity,7.479
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,syntax_complexity,7.559500000000001
qwen3-max-preview,Qwen 3 Max Preview,6,6,,syntax_complexity,7.66775
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,paragraphing_lineation,5.618125
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,paragraphing_lineation,5.973706441393876
