LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Contemporary,0.16125
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Contemporary,0.24287222808870115
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,Contemporary,0.21
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,Contemporary,0.2225
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,Contemporary,0.2475
command-a,Cohere Command A,13,13,,Contemporary,0.1125
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Contemporary,0.17
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Contemporary,0.1875
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,Contemporary,0.09
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Contemporary,0.16
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,Contemporary,0.1125
glm-4-5,GLM-4.5,14,14,,Contemporary,0.18125
glm-4-6,GLM-4.6,14,14,,Contemporary,0.13
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Contemporary,0.15875
gpt-5-pro,GPT-5 Pro,1,1,,Contemporary,0.125
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,Contemporary,0.1675
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,Contemporary,0.165
gpt-oss-120b,GPT-OSS-120B,1,1,,Contemporary,0.06875
grok-4-0709,Grok 4,9,9,,Contemporary,0.1375
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,Contemporary,0.1
kimi-k2,Kimi K2,16,16,,Contemporary,0.12
kimi-k2-thinking,Kimi K2 Thinking,16,16,,Contemporary,0.1225
kimi-k2-0905,Kimi K2-0905,16,16,,Contemporary,0.1225
llama4-maverick,Llama 4 Maverick,3,3,,Contemporary,0.1
mistral-large-2512,Mistral Large 3,5,5,,Contemporary,0.13
mistral-medium-2508,Mistral Medium 3.1,5,5,,Contemporary,0.12
o3-pro-medium,o3-pro (medium reasoning),1,1,,Contemporary,0.1675
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Contemporary,0.2125
qwen3-max-preview,Qwen 3 Max Preview,6,6,,Contemporary,0.0975
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,NearPast,0.01
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,NearPast,0.024287222808870117
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,NearPast,0.04
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,NearPast,0.0325
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,NearPast,0.03
command-a,Cohere Command A,13,13,,NearPast,0.0
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,NearPast,0.0025
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,NearPast,0.0
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,NearPast,0.0025
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,NearPast,0.015
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,NearPast,0.0125
glm-4-5,GLM-4.5,14,14,,NearPast,0.005
glm-4-6,GLM-4.6,14,14,,NearPast,0.025
gpt-5-medium,GPT-5 (medium reasoning),1,1,,NearPast,0.00875
gpt-5-pro,GPT-5 Pro,1,1,,NearPast,0.0175
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,NearPast,0.005
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,NearPast,0.03
gpt-oss-120b,GPT-OSS-120B,1,1,,NearPast,0.005
grok-4-0709,Grok 4,9,9,,NearPast,0.0
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,NearPast,0.02
kimi-k2,Kimi K2,16,16,,NearPast,0.0025
kimi-k2-thinking,Kimi K2 Thinking,16,16,,NearPast,0.0225
kimi-k2-0905,Kimi K2-0905,16,16,,NearPast,0.0275
llama4-maverick,Llama 4 Maverick,3,3,,NearPast,0.0025
mistral-large-2512,Mistral Large 3,5,5,,NearPast,0.0275
