LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Visual,0.4725848563968668
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Visual,0.4739583333333333
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Visual,0.4755784061696658
gpt-oss-120b,GPT-OSS-120B,1,1,,Visual,0.4578005115089514
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Visual,0.4274611398963731
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Visual,0.4281984334203655
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Visual,0.5036764705882353
grok-4-0709,Grok 4,9,9,,Visual,0.5419847328244275
o3-pro-medium,o3-pro (medium reasoning),1,1,,Visual,0.3638676844783715
command-a,Cohere Command A,13,13,,Visual,0.5575916230366492
kimi-k2,Kimi K2,16,16,,Visual,0.3695090439276486
glm-4-5,GLM-4.5,14,14,,Visual,0.5947368421052631
llama4-maverick,Llama 4 Maverick,3,3,,Visual,0.5958549222797928
mistral-medium-2508,Mistral Medium 3.1,5,5,,Visual,0.25831202046035806
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Visual,0.19845360824742267
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Auditory,0.09138381201044386
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Auditory,0.049479166666666664
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Auditory,0.10539845758354756
gpt-oss-120b,GPT-OSS-120B,1,1,,Auditory,0.061381074168797956
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Auditory,0.06994818652849741
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Auditory,0.0783289817232376
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Auditory,0.0661764705882353
grok-4-0709,Grok 4,9,9,,Auditory,0.05343511450381679
o3-pro-medium,o3-pro (medium reasoning),1,1,,Auditory,0.08142493638676845
command-a,Cohere Command A,13,13,,Auditory,0.028795811518324606
kimi-k2,Kimi K2,16,16,,Auditory,0.046511627906976744
glm-4-5,GLM-4.5,14,14,,Auditory,0.05
llama4-maverick,Llama 4 Maverick,3,3,,Auditory,0.06735751295336788
mistral-medium-2508,Mistral Medium 3.1,5,5,,Auditory,0.06649616368286446
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Auditory,0.11855670103092783
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Tactile,0.005221932114882507
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Tactile,0.005208333333333333
