LLM,LLM_Full,cat,cat_full,cat_desc,choice,prop
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Work,0.1075
kimi-k2,Kimi K2,16,16,,Work,0.015
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Work,0.04021937842778794
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Work,0.05012531328320802
o3-pro-medium,o3-pro (medium reasoning),1,1,,Work,0.035
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Work,0.02763819095477387
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Work,0.0425
glm-4-5,GLM-4.5,14,14,,Work,0.05
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Work,0.0275
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Work,0.05
gpt-oss-120b,GPT-OSS-120B,1,1,,Work,0.040100250626566414
grok-4-0709,Grok 4,9,9,,Work,0.020050125313283207
mistral-medium-2508,Mistral Medium 3.1,5,5,,Work,0.0225
llama4-maverick,Llama 4 Maverick,3,3,,Work,0.0475
command-a,Cohere Command A,13,13,,Work,0.01
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Family,0.06
kimi-k2,Kimi K2,16,16,,Family,0.085
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Family,0.0712979890310786
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Family,0.06766917293233082
o3-pro-medium,o3-pro (medium reasoning),1,1,,Family,0.0375
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Family,0.06532663316582915
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Family,0.05
glm-4-5,GLM-4.5,14,14,,Family,0.035
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Family,0.0625
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Family,0.04
gpt-oss-120b,GPT-OSS-120B,1,1,,Family,0.005012531328320802
grok-4-0709,Grok 4,9,9,,Family,0.06015037593984962
mistral-medium-2508,Mistral Medium 3.1,5,5,,Family,0.0725
llama4-maverick,Llama 4 Maverick,3,3,,Family,0.02
command-a,Cohere Command A,13,13,,Family,0.025
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Memory,0.2625
kimi-k2,Kimi K2,16,16,,Memory,0.42
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Memory,0.24680073126142596
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Memory,0.2581453634085213
o3-pro-medium,o3-pro (medium reasoning),1,1,,Memory,0.2625
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Memory,0.27889447236180903
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Memory,0.28
glm-4-5,GLM-4.5,14,14,,Memory,0.23
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Memory,0.26
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Memory,0.2475
gpt-oss-120b,GPT-OSS-120B,1,1,,Memory,0.24310776942355888
grok-4-0709,Grok 4,9,9,,Memory,0.19799498746867167
mistral-medium-2508,Mistral Medium 3.1,5,5,,Memory,0.2275
llama4-maverick,Llama 4 Maverick,3,3,,Memory,0.1775
command-a,Cohere Command A,13,13,,Memory,0.215
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Crime,0.005
kimi-k2,Kimi K2,16,16,,Crime,0.0
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Crime,0.009140767824497258
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Crime,0.005012531328320802
o3-pro-medium,o3-pro (medium reasoning),1,1,,Crime,0.0025
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Crime,0.005025125628140704
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Crime,0.0025
glm-4-5,GLM-4.5,14,14,,Crime,0.015
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Crime,0.0
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Crime,0.0
gpt-oss-120b,GPT-OSS-120B,1,1,,Crime,0.002506265664160401
grok-4-0709,Grok 4,9,9,,Crime,0.005012531328320802
mistral-medium-2508,Mistral Medium 3.1,5,5,,Crime,0.0025
llama4-maverick,Llama 4 Maverick,3,3,,Crime,0.0
command-a,Cohere Command A,13,13,,Crime,0.005
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Nature,0.0425
kimi-k2,Kimi K2,16,16,,Nature,0.0375
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,Nature,0.07312614259597806
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,Nature,0.08020050125313283
o3-pro-medium,o3-pro (medium reasoning),1,1,,Nature,0.0475
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,Nature,0.05527638190954774
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,Nature,0.0625
glm-4-5,GLM-4.5,14,14,,Nature,0.06
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,Nature,0.0625
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,Nature,0.0575
gpt-oss-120b,GPT-OSS-120B,1,1,,Nature,0.06265664160401002
grok-4-0709,Grok 4,9,9,,Nature,0.07017543859649122
mistral-medium-2508,Mistral Medium 3.1,5,5,,Nature,0.0325
llama4-maverick,Llama 4 Maverick,3,3,,Nature,0.075
command-a,Cohere Command A,13,13,,Nature,0.05
gpt-5-medium,GPT-5 (medium reasoning),1,1,,War,0.0075
kimi-k2,Kimi K2,16,16,,War,0.01
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,War,0.016453382084095063
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,War,0.015037593984962405
o3-pro-medium,o3-pro (medium reasoning),1,1,,War,0.02
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,War,0.007537688442211055
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,War,0.0075
glm-4-5,GLM-4.5,14,14,,War,0.005
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,War,0.0125
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,War,0.01
gpt-oss-120b,GPT-OSS-120B,1,1,,War,0.007518796992481203
grok-4-0709,Grok 4,9,9,,War,0.007518796992481203
mistral-medium-2508,Mistral Medium 3.1,5,5,,War,0.0075
llama4-maverick,Llama 4 Maverick,3,3,,War,0.005
command-a,Cohere Command A,13,13,,War,0.0075
gpt-5-medium,GPT-5 (medium reasoning),1,1,,Social,0.1525
